"取引ID","取引日時","取引区分 （1：通常、2：入金、3：出金、4:：預かり金、 5：預かり金返金、6：ポイント加算、7：ポイント減算、8：ポイント失効、11：チップ、13：マイル加算、14：マイル減算、 16：領収証発行）","取消区分 (0:通常、1：取消)","単価値引き前小計","単価値引き小計","小計","小計値引き","合計","預かり金","預かり金現金","預かり金クレジット","釣銭","商品名","カラー","会員コード","サイズ","商品ID","商品コード","数量","会員ID","店舗ID","客層ID","端末ID","支払方法ID1","支払方法名1"
"283","2026/06/30 18:43:34","1","0","44890","4269","40621","0","40621","40621","0","40621","0","FIVICS TENPRO シャフト 650 1ダース","1ダース","","650","1736","6011000192064","1","","2","","3","",""
"283","2026/06/30 18:43:34","1","0","44890","4269","40621","0","40621","40621","0","40621","0","FIVICS TENPRO インサートピン 0line 600～1200","600～1200","","0line","1827","6011000214025","1","","2","","3","",""
"283","2026/06/30 18:43:34","1","0","44890","4269","40621","0","40621","40621","0","40621","0","FIVICS TENPRO ステンレスポイント 2T 550～700","550～700","","2T","1810","6011000203029","1","","2","","3","",""
"283","2026/06/30 18:43:34","1","0","44890","4269","40621","0","40621","40621","0","40621","0","RANGE-O-MATIC スピンウィングベイン 45mm RH ブラック","ブラック","","RH","2432","6117000302059","1","","2","","3","",""
"283","2026/06/30 18:43:34","1","0","44890","4269","40621","0","40621","40621","0","40621","0","FIVICS ピンノック(S) クリアレッド ","","","クリアレッド","2285","6111000287040","1","","2","","3","",""
"282","2026/06/30 18:26:59","1","0","82550","0","82550","0","82550","82550","0","82550","0","【オレンジ】ARICO STRING 70インチ20本 L2 ","","","L2","5910","3300000001869","1","","2","","3","",""
"282","2026/06/30 18:26:59","1","0","82550","0","82550","0","82550","82550","0","82550","0","【廃版】FIVICS TITAN EX リム(ウッドコア)  L 42ポンド","42ポンド","","L","523","1111000041067","1","","2","","3","",""
"281","2026/06/30 10:18:23","1","0","58300","0","58300","58300","0","0","0","0","0","FIVICS FIVE-X シャフト 650 1ダース","1ダース","2304150000042","650","1711","6011000190077","1","842","2","","1","1","請求書"
"280","2026/06/30 10:14:34","1","0","58300","0","58300","58300","0","0","0","0","0","FIVICS FIVE-X シャフト 850 1ダース","1ダース","231021000004","850","1715","6011000190114","1","2764","2","","1","1","請求書"
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","KOREA ARCHERY JET6 ベイン1.75 インチ RH ホワイト","ホワイト","90000000000000000228","RH","2936","6123000632171","2","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","KOREA ARCHERY JET6 S ベイン RH ホワイト","ホワイト","90000000000000000228","RH","7385","1600000000537","2","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","Beiter アウトノック 4.7 (1個) レッド ","","90000000000000000228","レッド","3567","1500000000363","4","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","ARICO フィンガースリング グリーン ","","90000000000000000228","グリーン","2701","8011000406022","1","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","WJ SPORTS グリップテープ ブラック ","","90000000000000000228","ブラック","2870","9413000425017","1","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","WJ SPORTS グリップテープ イエロー ","","90000000000000000228","イエロー","2873","9413000425048","1","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","Beiter アウトノック 4.7 (1個) オレンジ ","","90000000000000000228","オレンジ","3565","1500000000387","20","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","SHIBUYA SR-5 レスト用両面テープ  ","","90000000000000000228","","3699","1000000000030","2","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","RANGE-O-MATIC ラッピングテープ  ","","90000000000000000228","","5075","1600100011013","2","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","FIVICS SAKER 2 タブ コードバン RH XXS","XXS","90000000000000000228","RH","1633","3111000177061","1","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","FIVICS SAKER 2 タブ バックスキン XXS ","","90000000000000000228","XXS","1645","3111000178068","1","87","2","","1","",""
"279","2026/06/30 10:13:13","1","0","31644","0","31644","31644","0","0","0","0","0","ARICO だっこアニマグ フェネック","","90000000000000000228","フェネック","12381","7900000000419","1","87","2","","1","",""
"278","2026/06/30 09:48:00","1","0","115170","0","115170","11517","103653","103653","0","0","0","MK AWAKE エクステンダーロッド 4インチ ","","2312020000022","4インチ","7381","4200000000024","1","471","2","","1","1","請求書"
"278","2026/06/30 09:48:00","1","0","115170","0","115170","11517","103653","103653","0","0","0","MK AWAKE サイドロッド 12インチ ","","2312020000022","12インチ","7378","4200000000055","2","471","2","","1","1","請求書"
"278","2026/06/30 09:48:00","1","0","115170","0","115170","11517","103653","103653","0","0","0","MK AWAKE センタースタビライザー 26インチ ","","2312020000022","26インチ","7373","4200000000109","1","471","2","","1","1","請求書"
"278","2026/06/30 09:48:00","1","0","115170","0","115170","11517","103653","103653","0","0","0","FIVICS GOLDRO シャフト 600 1ダース","1ダース","2312020000022","600","11979","6011000194112","1","471","2","","1","1","請求書"
"278","2026/06/30 09:48:00","1","0","115170","0","115170","11517","103653","103653","0","0","0","FIVICS GOLDRO ステンレスポイント 120:G 600～700","","2312020000022","120:G","11981","6011000205030","1","471","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","SHIBUYA ULTIMA RC PRO G2 520 カーボンサイト RH ブラック","ブラック","90000000000000000007","RH ","12471","7000000000454","1","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","HOYT スーパーレスト RH ","","90000000000000000007","RH","1507","2716000153001","30","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","CARTEL フレックスアームガードスリム ブラック ","","90000000000000000007","ブラック","3757","5300000000051","5","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","Beiter アウトノック 4.5/1 X (1個) グリーン ","","90000000000000000007","グリーン","2338","6115000293063","100","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","FIVICS WIND チェストガード(RH) M ホワイト","ホワイト","90000000000000000007","M","1678","3311000183110","1","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","ARICO フィンガースリング グリーン ","","90000000000000000007","グリーン","2701","8011000406022","2","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","SHIBUYA スタビライザー袋（サイド用）","","90000000000000000007","","18446","2900000000315","2","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","ANGEL イザナスサービング ブラック ","","90000000000000000007","ブラック","2761","9291000419027","5","308","2","","1","1","請求書"
"277","2026/06/30 09:40:41","1","0","203140","0","203140","0","203140","203140","0","0","0","FIVICS コードバンレザー  ","","90000000000000000007","","5089","5200100010519","1","308","2","","1","1","請求書"
"276","2026/06/28 20:23:33","1","0","124300","0","124300","124300","0","0","0","0","0","FIVICS FIVE-X シャフト 650 1ダース","1ダース","","650","1711","6011000190077","2","","2","","1","",""
"276","2026/06/28 20:23:33","1","0","124300","0","124300","124300","0","0","0","0","0","FIVICS SKADI バックスキン","","","M","12074","5200000000191","1","","2","","1","",""
"276","2026/06/28 20:23:33","1","0","124300","0","124300","124300","0","0","0","0","0","FIVICS ピンノック(S) クリアピンク","","","クリアピンク","17973","1500000001551","1","","2","","1","",""
"276","2026/06/28 20:23:33","1","0","124300","0","124300","124300","0","0","0","0","0","FIVICS インノック ブルー ","","","ブルー","5137","1500000000660","1","","2","","1","",""
"276","2026/06/28 20:23:33","1","0","124300","0","124300","124300","0","0","0","0","0","MK D2 ダンパー  ","","","","7384","4010000000159","1","","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","KOREA ARCHERY JET6 S ベイン RH ピンク","ピンク","90000000000000000228","RH","7391","1600000000476","1","87","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","FIVICS SAKER 2 タブ コードバン RH XS","XS","90000000000000000228","RH","1632","3111000177054","1","87","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","FIVICS SAKER 2 タブ バックスキン XS ","","90000000000000000228","XS","1644","3111000178051","1","87","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","FIVICS リムプロテクター イエロー ","","90000000000000000228","イエロー","1697","3311000188023","1","87","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","EASTON Gノック S レモンライム ","","90000000000000000228","レモンライム","4576","1500000000530","4","87","2","","1","",""
"275","2026/06/28 18:27:04","1","0","13882","0","13882","13882","0","0","0","0","0","KOREA ARCHERY JET6 S ベイン RH イエロー","イエロー","90000000000000000228","RH","7389","1600000000490","1","87","2","","1","",""
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","WIN&WIN Tゲージ ブルー ","","90000000000000000228","ブルー","5286","1900000000026","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA ULTIMA RC PRO G2 520 カーボンサイト RH ガンメタル","ガンメタル","90000000000000000228","RH ","12474","7000000000423","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA VARIS アジャスタブル Vバー","","90000000000000000228","","12508","8000000010254","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA VERSA エクステンダーロッド 3インチ ブラック","ブラック","90000000000000000228","3インチ","3348","4400000000141","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","内外 GT-301タブ  RH M","M","90000000000000000228","RH","18427","48000000003186","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","内外 GT-301タブ  LH M","M","90000000000000000228","LH","18430","48000000003213","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA チェストガード RH（右射ち用） M ブラック","ブラック","90000000000000000228","M","3389","5400000000058","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA チェストガード LH（左射ち用） M ブラック","ブラック","90000000000000000228","M","3373","5400000000218","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","BLACKSHEEP フレックスアームガード","","90000000000000000228","","18410","5300000000631","2","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA ULTIMA RC4 520 カーボンサイト LH ガンメタル","ガンメタル","90000000000000000228","LH ","12486","7000000000300","1","87","2","","1","1","請求書"
"274","2026/06/28 16:51:01","1","0","184888","0","184888","184888","0","0","0","0","0","SHIBUYA トランスポーター 49.0L ホワイト ","","90000000000000000228","ホワイト","11970","2200000000217","1","87","2","","1","1","請求書"
"273","2026/06/28 16:29:45","1","0","1540","0","1540","0","1540","2000","2000","0","460","HOYT スーパーレスト RH ","","","RH","1507","2716000153001","5","","2","","3","",""
"272","2026/06/28 16:19:30","1","0","2530","0","2530","0","2530","3030","3030","0","500","Beiter クリッカー ブラックブレード 0.25 6/32A","6/32A","","0.25","1497","2315000152016","1","","2","","3","",""
"271","2026/06/28 15:10:55","1","0","796320","0","796320","0","796320","796320","0","0","0","ANGEL マジェスティサービング.018/100m ブラック","ブラック","90000000000000000144","","12488","8400000000031","30","171","2","","1","1","請求書"
